4543643;BOTA,SEG,COURO,SOLADO PU,PRETA,44,EMS-06;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543644;BOTA,SEG,COURO,SOLADO PU,PRETA,45,EMS06;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543646;PROTETOR AURICULAR;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543647;BOTA,SEG,COURO,SOLADO PU,PRETA,38-EMS-06;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543648;"PLACA,ADVERT;PERIGO ALTA TENSÃO;EMS38";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543651;"CONJ,ATERR;CUBICULO ATE 13,8KV;EMS-07";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543654;OCULOS DE PROTEÇAO SOBREPOR FUME;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543655;CAPA DE COURO P/MAQUINA COLETORA;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543661;ALICATE,UNIV,ISOL,1KV,20CM,VANADIO,EMS01;ESTOQUE;12/03/2019;12/03/2019
4543662;"DETETOR,TENSAO;ATE 1KV;NEON;PON;EMS19;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543664;"CHAVE,ANEL;9/16POL";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543665;CHAVE,COMBINADA;ESTOQUE;12/03/2019;12/03/2019
4543668;"CONJ,CHAVE BOCA;6-36MM";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543670;"CHAVE,REGULAGEM(AJUST/INGL);10POL;1000V";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543671;"ALICATE,DESENCAPADOR;ISOL 1000V";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543672;"ALICATE,UNIVERSAL;8POL;ISOL 1000V;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543675;Linternas-LANTERNA,RECARREGAVEL-2;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543688;"PARAFUSO,CAB SEXT;AZ;16X300;AT07748;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543701;"PARAFUSO,CAB SEXT;AZ;20X260;AT07729;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
